🌐 4K 超高清,#genre#
诸城新闻综合,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00001004/index.m3u8
精彩影视,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00002012/index.m3u8
轮播海看,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00002032/index.m3u8






港台 ,#genre#
美亞電影台,http://bxtv.3a.ink/api.php?id=meiya
PopC,http://bxtv.3a.ink/api.php?id=popc
凤凰卫视,http://bxtv.3a.ink/api.php?id=fhzw
凤凰资讯,http://bxtv.3a.ink/api.php?id=fhzx
凤凰香港,http://bxtv.3a.ink/api.php?id=fhhk
中天新聞台,http://bxtv.3a.ink/api.php?id=ztxw
VIUTV,http://bxtv.3a.ink/api.php?id=viutv
NOW新闻,http://bxtv.3a.ink/api.php?id=now
广东体育,http://bxtv.3a.ink/api.php?id=gdty
广东珠江,http://bxtv.3a.ink/api.php?id=gdzj
myTV SUPER 18台,http://bxtv.3a.ink/api.php?id=18
TVB Plus,http://bxtv.3a.ink/api.php?id=tvbp
明珠台,http://bxtv.3a.ink/api.php?id=mz
無線新聞台,http://bxtv.3a.ink/api.php?id=wxxw
千禧經典台,http://bxtv.3a.ink/api.php?id=qxjd
翡翠台,http://bxtv.3a.ink/api.php?id=fct
KBS 1TV,http://mytv.dothome.co.kr/ch/public/1.php
KBS 2TV,http://mytv.dothome.co.kr/ch/public/3.php
KBS World,http://mytv.dothome.co.kr/ch/catv/7.php
KBS Drama,http://mytv.dothome.co.kr/ch/catv/2.php
KBS Joy,http://mytv.dothome.co.kr/ch/catv/3.php
KBS Life,http://mytv.dothome.co.kr/ch/catv/5.php
SBS CJB,http://1.222.207.80:1935/live/cjbtv/playlist.m3u8
SBS JTV,http://61.85.197.53:1935/jtv_live/myStream/playlist.m3u8
MBC Chuncheon,https://stream.chmbc.co.kr/TV/myStream/playlist.m3u8
MBC Chungbuk,http://211.33.246.4:32954/cj_live/myStream.sdp/playlist.m3u8
MBC Daegu,https://5ee1ec6f32118.streamlock.net/live/livetv/playlist.m3u8
MBC Daejeon,https://ns1.tjmbc.co.kr/live/myStream.sdp/playlist.m3u8
MBC Mokpo,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
MBC Yeosu,https://5c3639aa99149.streamlock.net/live_TV/tv/playlist.m3u8

4K超清 223 ,#genre#
